a,b,c,d,e,f,g,h,z
5633,6059,6336,7392,6327,4833,2006,769,0
5696,6103,6403,7508,6536,5166,2092,794,0
5508,5835,6129,7392,6325,5005,2456,934,0
5027,5349,5569,7030,6106,4740,2867,1160,0
4395,4570,4772,6505,5513,4253,3559,1537,0
3601,3809,3881,5684,4654,3457,3768,1885,0
2851,2930,2965,5033,3918,2660,4519,2586,0
1156,1931,1838,4617,3185,2026,4093,4305,0
1549,1847,1723,4157,2625,1610,4725,4139,0
665,1399,1173,3872,2280,1335,4238,5350,0
-319,905,689,3731,2091,1157,3754,6882,0
-174,718,473,2989,1524,786,3671,7267,0
176,787,556,3241,1763,935,4400,7071,0
463,894,643,3576,2067,1096,5252,6952,0
510,947,778,3339,2023,1173,4515,6221,0
439,844,626,3008,1750,945,4420,6555,0
336,763,509,3383,1744,832,5163,7384,0
307,709,426,3852,1870,833,6072,8008,0
320,735,463,3454,1677,781,5406,7636,0
331,720,463,2877,1345,646,4582,7228,0
339,730,463,3294,1602,761,5231,7535,0
378,759,504,3147,1484,705,4955,7239,0
418,779,528,2821,1315,642,4460,6847,0
446,815,598,2824,1458,812,4259,6505,0
515,873,722,2884,1734,1069,4048,5996,0
418,817,628,3068,1768,987,4452,6602,0
579,1007,865,3111,2065,1399,4023,5649,0
677,1035,886,2722,1685,1057,3542,5089,0
727,1065,973,3096,2134,1419,3937,5217,0
602,919,694,3983,1930,981,6032,7032,0
483,833,572,3705,1705,809,5796,7325,0
434,871,634,4012,1898,978,5800,7271,0
433,873,638,4116,1936,980,5916,7316,0
494,893,697,3705,1883,982,5302,6833,0
397,768,513,3656,1631,741,5712,7539,0
366,731,465,3756,1554,659,5962,7797,0
338,708,441,3991,1558,657,6293,8010,0
349,713,431,3772,1494,630,6079,7949,0
324,684,412,3839,1531,645,6172,8062,0
311,669,401,3906,1523,641,6268,8138,0
371,775,509,3105,1392,647,4852,7183,0
390,773,504,3540,1496,686,5565,7507,0
485,851,669,3326,1692,941,4848,6651,0
633,959,853,2771,1718,1066,3649,5292,0
501,861,666,3081,1589,821,4533,6445,0
513,871,781,2771,1663,897,3656,5602,0
486,932,850,3156,1882,1072,3946,5756,0
309,714,494,3036,1303,605,4645,7201,0
280,676,475,2440,1040,510,3724,6741,0
280,693,517,1936,888,460,2742,5785,0
326,711,521,2704,1285,655,4077,6769,0
373,768,599,2975,1537,805,4313,6648,0
424,834,690,2730,1446,828,3725,5965,0
381,797,574,3335,1741,901,4958,7063,0
506,874,724,2970,1745,1067,4153,6080,0
626,1016,978,3006,2107,1437,3576,5090,0
461,827,656,2770,1509,846,3989,6170,0
359,670,443,2320,887,431,3820,6793,0
672,782,537,2146,688,294,3895,5997,0
678,794,562,2106,687,290,3714,5787,0
701,812,590,1945,638,281,3312,5345,0
741,834,647,1789,708,375,2823,4688,0
753,872,699,1840,759,407,2746,4494,0
679,774,578,1734,588,270,2859,5000,0
640,711,496,1838,557,251,3350,5750,0
653,740,512,1716,513,245,3043,5404,0
5286,5673,5866,6887,5926,4585,2052,801,0
5412,5758,5998,7125,6212,4879,2250,859,0
5063,5367,5580,6987,6002,4651,2815,1120,0
4414,4692,4872,6533,5633,4319,3280,1456,0
3751,3768,3873,5801,4731,3465,4419,1993,0
2803,2952,2974,5052,3913,2643,4375,2589,0
2511,2730,2711,4842,3843,2513,4340,2821,0
2549,2787,2771,4900,3903,2610,4289,2775,0
2486,2697,2689,4962,3593,2435,4564,2971,0
1659,2295,2233,4628,3203,2121,3842,3491,0
1078,1425,1501,4397,2889,1848,4726,4910,0
-136,956,770,4157,2229,1240,4277,6874,0
26,784,556,3549,1881,953,4483,7291,0
480,854,606,3092,1666,827,4734,6723,0
392,811,527,3429,1819,893,5315,7336,0
445,864,641,3109,1671,902,4531,6581,0
350,738,471,2886,1269,615,4613,7194,0
275,671,382,2954,1279,563,4877,7710,0
277,663,387,2509,1029,479,4160,7327,0
282,678,388,2630,1096,508,4364,7429,0
366,782,530,2646,1277,633,4044,6662,0
443,850,610,2814,1412,713,4190,6437,0
457,836,591,3083,1555,761,4719,6783,0
444,839,622,2800,1477,814,4124,6365,0
385,763,504,2564,1205,633,4055,6714,0
345,734,471,2675,1238,616,4267,7006,0
442,830,571,3215,1577,752,4960,6984,0
592,929,707,2710,1328,705,4002,5862,0
675,1034,904,3016,2053,1343,3947,5388,0
576,963,775,3398,1962,1119,4777,6286,0
485,863,618,3363,1630,814,5108,6895,0
451,829,599,3584,1721,825,5409,7136,0
450,819,578,3695,1719,812,5652,7295,0
406,798,526,3505,1557,707,5470,7390,0
401,789,516,3501,1606,726,5491,7431,0
397,778,508,3534,1634,726,5561,7486,0
384,749,480,3632,1599,693,5781,7665,0
379,747,489,3588,1578,698,5664,7601,0
315,654,383,4172,1585,655,6715,8318,0
311,692,420,3677,1511,649,5873,7950,0
336,751,498,2886,1352,624,4471,7057,0
377,758,465,3524,1366,599,5670,7669,0
496,821,704,3494,1780,1027,4983,6646,0
757,1069,1070,2874,2195,1510,3312,4574,0
644,926,791,2957,1863,1079,4206,5779,0
590,975,1054,2710,1888,1202,2834,4400,0
618,973,954,2459,1483,919,2777,4410,0
394,780,597,2000,768,394,2778,5402,0
315,684,509,1528,453,208,2085,5002,0
317,700,562,1434,468,227,1754,4369,0
309,679,472,2998,1295,588,4673,7280,0
422,834,667,2626,1206,610,3638,5949,0
393,733,517,3146,1387,663,4942,7177,0
323,686,409,3603,1653,713,5856,7961,0
416,804,609,3124,1643,880,4604,6737,0
460,835,638,3095,1589,838,4559,6582,0
416,798,610,2424,1053,554,3498,5979,0
330,689,476,2098,843,436,3249,6301,0
708,832,611,2108,757,356,3577,5506,0
702,838,612,2286,902,413,3914,5776,0
725,840,628,2088,868,435,3503,5376,0
798,939,798,2064,1080,720,2912,4423,0
702,819,610,2365,983,475,4078,5899,0
681,791,588,1975,781,376,3336,5412,0
725,818,636,1756,688,389,2763,4682,0
687,771,548,1788,565,285,3124,5308,0
5211,5537,5751,7024,5989,4726,2557,996,0
5072,5337,5542,6868,5911,4611,2744,1068,0
4301,4479,4632,6349,5319,3944,3612,1564,0
3217,3336,3386,5338,4381,3079,4234,2238,0
2456,2801,2787,4837,3744,2524,3901,2689,0
2009,2232,2141,4393,3091,1889,4626,3447,0
2085,2416,2325,4483,3438,2176,4216,3170,0
2544,2878,2836,4939,4110,2696,4083,2705,0
2616,2970,2963,5053,4148,2709,3955,2607,0
2586,2880,2867,4899,3874,2594,3998,2617,0
1843,2418,2362,4906,3602,2430,4169,3500,0
953,1747,1642,4427,2787,1741,4064,4589,0
